feature,importance
elixir_avg,0.09355031669231297
legendary_cnt,0.04322300872807996
26000011,0.0250211572745549
28000000,0.024228630899519647
26000012,0.022986667047129105
26000017,0.022257940910474054
28000001,0.02059286908090987
28000008,0.020363114043457857
26000018,0.01933877553188709
26000041,0.01839467038201431
26000021,0.017880862971659757
28000004,0.017418469623041832
26000049,0.017088295055748656
26000007,0.016900064920125198
28000011,0.015884515129828258
26000000,0.015679741312006546
26000024,0.015322329087398128
26000055,0.014976750042825821
26000005,0.014791619535030005
27000003,0.01463121520465798
26000064,0.014575299362492716
26000014,0.0144195782625901
26000042,0.014320771107697928
26000013,0.014086210035225685
26000022,0.014029298239335379
27000010,0.01393844866144595
26000015,0.013746031369465238
27000006,0.013469367644254944
28000002,0.013127193467528131
26000043,0.01299549942694029
26000016,0.012090001776472443
26000006,0.012026638544465626
26000026,0.012008509528041526
26000045,0.011974679360500843
26000004,0.011657637556685094
26000037,0.010919438140018852
26000031,0.010798421317558763
28000005,0.010686203008992647
28000006,0.010369202260529037
28000003,0.010225675894714884
26000035,0.010060891345119333
26000040,0.009715775973212187
26000032,0.00949649269110391
26000020,0.00934168685951772
26000001,0.009223207488245
26000008,0.008605134167492206
28000009,0.008565759947698382
28000012,0.008507214910343683
26000062,0.00817969157893283
26000056,0.008104881302449372
26000046,0.007943996789782271
28000007,0.007634224928501553
26000025,0.0076265684202745905
26000023,0.007114900291035688
26000039,0.005887685514630149
26000019,0.005822741905241371
26000027,0.005709847638344588
28000015,0.005663384565542821
26000003,0.005652615573174505
26000033,0.005436801897596216
27000001,0.005409288704164271
26000083,0.005274507960022412
26000051,0.00493484605692087
26000030,0.004864075109768785
26000050,0.004572625011822796
26000059,0.004407717833995913
26000010,0.004383560665878902
26000009,0.004141983709637131
28000013,0.004136721242735471
26000057,0.004092850311052431
26000067,0.004000429592347273
26000044,0.003967758722727838
26000038,0.003788213609171157
26000048,0.0036612015501990623
27000000,0.0033904548856058714
27000004,0.0033820573543913435
28000014,0.0031163736547864984
26000058,0.0030448263418397493
26000036,0.003041767515160181
26000034,0.0029527476650115557
27000009,0.002950349819260002
28000017,0.002871296644057034
26000053,0.0027029967273885114
26000002,0.0027026595298494083
26000029,0.0023865837328357975
28000018,0.0023182729495566058
26000080,0.002219265718115927
26000052,0.002164297887065286
26000061,0.0021082274672838885
27000007,0.0019431929037578416
27000002,0.0019355761806177682
26000054,0.001905758640207473
28000010,0.0017944039211614234
28000016,0.0017201207614340806
26000047,0.0016402756569841295
26000063,0.0016152400647439563
26000068,0.0014076659517530123
27000012,0.0012261834689362584
26000084,0.0012170307936058891
26000028,0.0011935002081494002
27000008,0.0011108293667968137
27000005,0.0008304853300390146
26000060,0.0006221788838420624
26000085,0.0005609776694627181
